amd64,arm64,cpu,memory,storage,networkbw,ebsbw,
c6i.large,c7g.large,2,4,EBS-Only,Up to 12.5,Up to 10,
c6i.xlarge,c7g.xlarge,4,8,EBS-Only,Up to 12.5,Up to 10,
c6i.2xlarge,c7g.2xlarge,8,16,EBS-Only,Up to 15,Up to 10,
c6i.4xlarge,c7g.4xlarge,16,32,EBS-Only,Up to 15,Up to 10,
c6i.8xlarge,c7g.8xlarge,32,64,EBS-Only,15,10,
c6i.12xlarge,c7g.12xlarge,48,96,EBS-Only,22.5,15,
c6i.16xlarge,c7g.16xlarge,64,128,EBS-Only,30,20,
c6id.large,c6gd.large,2,4,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
c6id.xlarge,c6gd.xlarge,4,8,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
c6id.2xlarge,c6gd.2xlarge,8,16,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
c6id.4xlarge,c6gd.4xlarge,16,32,1 x 950 NVMe SSD,Up to 10,"4,750",
c6id.8xlarge,c6gd.8xlarge,32,64,1 x 1900 NVMe SSD,12,"9,000",
c6id.12xlarge,c6gd.12xlarge,48,96,2 x 1425 NVMe SSD,20,"13,500",
c6id.16xlarge,c6gd.16xlarge,64,128,2 x 1900 NVMe SSD,25,"19,000",
c4.large,c6g.large,2,4,EBS-Only,Up to 10,"Up to 4,750",
c4.xlarge,c6g.xlarge,4,8,EBS-Only,Up to 10,"Up to 4,750",
c4.2xlarge,c6g.2xlarge,8,16,EBS-Only,Up to 10,"Up to 4,750",
c4.4xlarge,c6g.4xlarge,16,32,EBS-Only,Up to 10,4750,
c4.8xlarge,c6g.8xlarge,32,64,EBS-Only,12,9000,
c5n.large,c6gn.large,2,4,EBS-Only,Up to 25,Up to 9.5,
c5n.xlarge,c6gn.xlarge,4,8,EBS-Only,Up to 25,Up to 9.5,
c5n.2xlarge,c6gn.2xlarge,8,16,EBS-Only,Up to 25,Up to 9.5,
c5n.4xlarge,c6gn.4xlarge,16,32,EBS-Only,25,9.5,
c5n.9xlarge,c6gn.8xlarge,32,64,EBS-Only,50,19,
c5n.18xlarge,c6gn.16xlarge,64,128,EBS-Only,100,38,
c5n.metal,c6gn.16xlarge,64,128,EBS-Only,100,38,
c5.large,c6g.large,2,4,EBS-Only,Up to 10,"Up to 4,750",
c5.xlarge,c6g.xlarge,4,8,EBS-Only,Up to 10,"Up to 4,750",
c5.2xlarge,c6g.2xlarge,8,16,EBS-Only,Up to 10,"Up to 4,750",
c5.4xlarge,c6g.4xlarge,16,32,EBS-Only,Up to 10,4750,
c5.9xlarge,c6g.8xlarge,32,64,EBS-Only,12,9000,
c5.12xlarge,c6g.12xlarge,48,96,EBS-Only,20,13500,
c5.18xlarge,c6g.16xlarge,64,128,EBS-Only,25,19000,
c5d.large,c6gd.large,2,4,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
c5d.xlarge,c6gd.xlarge,4,8,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
c5d.2xlarge,c6gd.2xlarge,8,16,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
c5d.4xlarge,c6gd.4xlarge,16,32,1 x 950 NVMe SSD,Up to 10,"4,750",
c5d.9xlarge,c6gd.8xlarge,32,64,1 x 1900 NVMe SSD,12,"9,000",
c5d.12xlarge,c6gd.12xlarge,48,96,2 x 1425 NVMe SSD,20,"13,500",
c5d.18xlarge,c6gd.16xlarge,64,128,2 x 1900 NVMe SSD,25,"19,000",
c5a.large,c6g.large,2,4,EBS-Only,Up to 10,"Up to 4,750",
c5a.xlarge,c6g.xlarge,4,8,EBS-Only,Up to 10,"Up to 4,750",
c5a.2xlarge,c6g.2xlarge,8,16,EBS-Only,Up to 10,"Up to 4,750",
c5a.4xlarge,c6g.4xlarge,16,32,EBS-Only,Up to 10,4750,
c5a.8xlarge,c6g.8xlarge,32,64,EBS-Only,12,9000,
c5a.12xlarge,c6g.12xlarge,48,96,EBS-Only,20,13500,
c5a.16xlarge,c6g.16xlarge,64,128,EBS-Only,25,19000,
c5ad.large,c6gd.large,2,4,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
c5ad.xlarge,c6gd.xlarge,4,8,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
c5ad.2xlarge,c6gd.2xlarge,8,16,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
c5ad.4xlarge,c6gd.4xlarge,16,32,1 x 950 NVMe SSD,Up to 10,"4,750",
c5ad.8xlarge,c6gd.8xlarge,32,64,1 x 1900 NVMe SSD,12,"9,000",
c5ad.12xlarge,c6gd.12xlarge,48,96,2 x 1425 NVMe SSD,20,"13,500",
c5ad.16xlarge,c6gd.16xlarge,64,128,2 x 1900 NVMe SSD,25,"19,000",
c6a.large,c7g.large,2,4,EBS-Only,Up to 12.5,Up to 10,
c6a.xlarge,c7g.xlarge,4,8,EBS-Only,Up to 12.5,Up to 10,
c6a.2xlarge,c7g.2xlarge,8,16,EBS-Only,Up to 15,Up to 10,
c6a.4xlarge,c7g.4xlarge,16,32,EBS-Only,Up to 15,Up to 10,
c6a.8xlarge,c7g.8xlarge,32,64,EBS-Only,15,10,
c6a.12xlarge,c7g.12xlarge,48,96,EBS-Only,22.5,15,
c6a.16xlarge,c7g.16xlarge,64,128,EBS-Only,30,20,
t2.nano,t4g.nano,2,0.5,,,Up to 5,"Up to 2,085"
t2.micro,t4g.micro,2,1,,,Up to 5,"Up to 2,085"
t2.small,t4g.small,2,2,,,Up to 5,"Up to 2,085"
t2.medium,t4g.medium,2,4,,,Up to 5,"Up to 2,085"
t2.large,t4g.large,2,8,,,Up to 5,"Up to 2,780"
t2.xlarge,t4g.xlarge,4,16,,,Up to 5,"Up to 2,780"
t2.2xlarge,t4g.2xlarge,8,32,,,Up to 5,"Up to 2,780"
t3a.nano,t4g.nano,2,0.5,,,Up to 5,"Up to 2,085"
t3a.micro,t4g.micro,2,1,,,Up to 5,"Up to 2,085"
t3a.small,t4g.small,2,2,,,Up to 5,"Up to 2,085"
t3a.medium,t4g.medium,2,4,,,Up to 5,"Up to 2,085"
t3a.large,t4g.large,2,8,,,Up to 5,"Up to 2,780"
t3a.xlarge,t4g.xlarge,4,16,,,Up to 5,"Up to 2,780"
t3a.2xlarge,t4g.2xlarge,8,32,,,Up to 5,"Up to 2,780"
t3.nano,t4g.nano,2,0.5,,,Up to 5,"Up to 2,085"
t3.micro,t4g.micro,2,1,,,Up to 5,"Up to 2,085"
t3.small,t4g.small,2,2,,,Up to 5,"Up to 2,085"
t3.medium,t4g.medium,2,4,,,Up to 5,"Up to 2,085"
t3.large,t4g.large,2,8,,,Up to 5,"Up to 2,780"
t3.xlarge,t4g.xlarge,4,16,,,Up to 5,"Up to 2,780"
t3.2xlarge,t4g.2xlarge,8,32,,,Up to 5,"Up to 2,780"
m4.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m4.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m4.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m4.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m4.10xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m4.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m5a.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m5a.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m5a.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m5a.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m5a.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m5a.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m5a.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m5ad.large,m6gd.large,2,8,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
m5ad.xlarge,m6gd.xlarge,4,16,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
m5ad.2xlarge,m6gd.2xlarge,8,32,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
m5ad.4xlarge,m6gd.4xlarge,16,64,1 x 950 NVMe SSD,Up to 10,"4,750",
m5ad.8xlarge,m6gd.8xlarge,32,128,1 x 1900 NVMe SSD,12,"9,000",
m5ad.12xlarge,m6gd.12xlarge,48,192,2 x 1425 NVMe SSD,20,"13,500",
m5ad.16xlarge,m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,25,"19,000",
r4.large,r6g.large,2,16,EBS-Only,Up to 10,"Up to 4,750",
r4.xlarge,r6g.xlarge,4,32,EBS-Only,Up to 10,"Up to 4,750",
r4.2xlarge,r6g.2xlarge,8,64,EBS-Only,Up to 10,"Up to 4,750",
r4.4xlarge,r6g.4xlarge,16,128,EBS-Only,Up to 10,4750,
r4.8xlarge,r6g.8xlarge,32,256,EBS-Only,12,9000,
r4.16xlarge,r6g.16xlarge,64,512,EBS-Only,25,19000,
r5a.large,r6g.large,2,16,EBS-Only,Up to 10,"Up to 4,750",
r5a.xlarge,r6g.xlarge,4,32,EBS-Only,Up to 10,"Up to 4,750",
r5a.2xlarge,r6g.2xlarge,8,64,EBS-Only,Up to 10,"Up to 4,750",
r5a.4xlarge,r6g.4xlarge,16,128,EBS-Only,Up to 10,4750,
r5a.8xlarge,r6g.8xlarge,32,256,EBS-Only,12,9000,
r5a.12xlarge,r6g.12xlarge,48,384,EBS-Only,20,13500,
r5a.16xlarge,r6g.16xlarge,64,512,EBS-Only,25,19000,
r5ad.large,r6gd.large,2,16,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
r5ad.xlarge,r6gd.xlarge,4,32,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
r5ad.2xlarge,r6gd.2xlarge,8,64,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
r5ad.4xlarge,r6gd.4xlarge,16,128,1 x 950 NVMe SSD,Up to 10,"4,750",
r5ad.8xlarge,r6gd.8xlarge,32,256,1 x 1900 NVMe SSD,12,"9,000",
r5ad.12xlarge,r6gd.12xlarge,48,384,2 x 1425 NVMe SSD,20,"13,500",
r5ad.16xlarge,r6gd.16xlarge,64,512,2 x 1900 NVMe SSD,25,"19,000",
r5.large,r6g.large,2,16,EBS-Only,Up to 10,"Up to 4,750",
r5.xlarge,r6g.xlarge,4,32,EBS-Only,Up to 10,"Up to 4,750",
r5.2xlarge,r6g.2xlarge,8,64,EBS-Only,Up to 10,"Up to 4,750",
r5.4xlarge,r6g.4xlarge,16,128,EBS-Only,Up to 10,4750,
r5.8xlarge,r6g.8xlarge,32,256,EBS-Only,12,9000,
r5.12xlarge,r6g.12xlarge,48,384,EBS-Only,20,13500,
r5.16xlarge,r6g.16xlarge,64,512,EBS-Only,25,19000,
r5d.large,r6gd.large,2,16,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
r5d.xlarge,r6gd.xlarge,4,32,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
r5d.2xlarge,r6gd.2xlarge,8,64,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
r5d.4xlarge,r6gd.4xlarge,16,128,1 x 950 NVMe SSD,Up to 10,"4,750",
r5d.8xlarge,r6gd.8xlarge,32,256,1 x 1900 NVMe SSD,12,"9,000",
r5d.12xlarge,r6gd.12xlarge,48,384,2 x 1425 NVMe SSD,20,"13,500",
r5d.16xlarge,r6gd.16xlarge,64,512,2 x 1900 NVMe SSD,25,"19,000",
r6i.large,r6g.large,2,16,EBS-Only,Up to 10,"Up to 4,750",
r6i.xlarge,r6g.xlarge,4,32,EBS-Only,Up to 10,"Up to 4,750",
r6i.2xlarge,r6g.2xlarge,8,64,EBS-Only,Up to 10,"Up to 4,750",
r6i.4xlarge,r6g.4xlarge,16,128,EBS-Only,Up to 10,4750,
r6i.8xlarge,r6g.8xlarge,32,256,EBS-Only,12,9000,
r6i.12xlarge,r6g.12xlarge,48,384,EBS-Only,20,13500,
r6i.16xlarge,r6g.16xlarge,64,512,EBS-Only,25,19000,
r6id.large,r6gd.large,2,16,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
r6id.xlarge,r6gd.xlarge,4,32,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
r6id.2xlarge,r6gd.2xlarge,8,64,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
r6id.4xlarge,r6gd.4xlarge,16,128,1 x 950 NVMe SSD,Up to 10,"4,750",
r6id.8xlarge,r6gd.8xlarge,32,256,1 x 1900 NVMe SSD,12,"9,000",
r6id.12xlarge,r6gd.12xlarge,48,384,2 x 1425 NVMe SSD,20,"13,500",
r6id.16xlarge,r6gd.16xlarge,64,512,2 x 1900 NVMe SSD,25,"19,000",
r6a.large,r6g.large,2,16,EBS-Only,Up to 10,"Up to 4,750",
r6a.xlarge,r6g.xlarge,4,32,EBS-Only,Up to 10,"Up to 4,750",
r6a.2xlarge,r6g.2xlarge,8,64,EBS-Only,Up to 10,"Up to 4,750",
r6a.4xlarge,r6g.4xlarge,16,128,EBS-Only,Up to 10,4750,
r6a.8xlarge,r6g.8xlarge,32,256,EBS-Only,12,9000,
r6a.12xlarge,r6g.12xlarge,48,384,EBS-Only,20,13500,
r6a.16xlarge,r6g.16xlarge,64,512,EBS-Only,25,19000,
i3.large,Im4gn.large,2,8,1 x 937 AWS Nitro SSD,Up to 25,Up to 9.5,
i3.xlarge,Im4gn.xlarge,4,16,1 x 1875 AWS Nitro SSD,Up to 25,Up to 9.5,
i3.2xlarge,Im4gn.2xlarge,8,32,1 x 3750 AWS Nitro SSD,Up to 25,Up to 9.5,
i3.4xlarge,Im4gn.4xlarge,16,64,1 x 7500 AWS Nitro SSD,25,9.5,
i3.8xlarge,Im4gn.8xlarge,32,128,2 x 7500 AWS Nitro SSD,50,19,
i3.16xlarge,Im4gn.16xlarge,64,256,4 x 7500 AWS Nitro SSD,100,38,
m5.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m5.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m5.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m5.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m5.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m5.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m5.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m5d.large,m6gd.large,2,8,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
m5d.xlarge,m6gd.xlarge,4,16,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
m5d.2xlarge,m6gd.2xlarge,8,32,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
m5d.4xlarge,m6gd.4xlarge,16,64,1 x 950 NVMe SSD,Up to 10,"4,750",
m5d.8xlarge,m6gd.8xlarge,32,128,1 x 1900 NVMe SSD,12,"9,000",
m5d.12xlarge,m6gd.12xlarge,48,192,2 x 1425 NVMe SSD,20,"13,500",
m5d.16xlarge,m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,25,"19,000",
m6i.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m6i.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m6i.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m6i.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m6i.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m6i.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m6i.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",
m6id.large,m6gd.large,2,8,1 x 118 NVMe SSD,Up to 10,"Up to 4,750",
m6id.xlarge,m6gd.xlarge,4,16,1 x 237 NVMe SSD,Up to 10,"Up to 4,750",
m6id.2xlarge,m6gd.2xlarge,8,32,1 x 474 NVMe SSD,Up to 10,"Up to 4,750",
m6id.4xlarge,m6gd.4xlarge,16,64,1 x 950 NVMe SSD,Up to 10,"4,750",
m6id.8xlarge,m6gd.8xlarge,32,128,1 x 1900 NVMe SSD,12,"9,000",
m6id.12xlarge,m6gd.12xlarge,48,192,2 x 1425 NVMe SSD,20,"13,500",
m6id.16xlarge,m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,25,"19,000",
m6a.large,m6g.large,2,8,EBS-Only,Up to 10,"Up to 4,750",
m6a.xlarge,m6g.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750",
m6a.2xlarge,m6g.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750",
m6a.4xlarge,m6g.4xlarge,16,64,EBS-Only,Up to 10,"4,750",
m6a.8xlarge,m6g.8xlarge,32,128,EBS-Only,12,"9,000",
m6a.12xlarge,m6g.12xlarge,48,192,EBS-Only,20,"13,500",
m6a.16xlarge,m6g.16xlarge,64,256,EBS-Only,25,"19,000",